name,date,rows
"Thom, William",1710-1790.,4
"Thomson, Alexander",1763-1803.,50
"Thomson, James",1700-1748.,57
"Thomson, Mr. (George)",1757-1851.,0
"Thomson, Thomas",1773-1852.,55
"Thomson, William",1746-1817.,57
"Threipland, Patrick Murray, Sir",1762-1837.,0
"Threipland, Stuart, Sir",1716-1805.,0
"Tilloch, Alexander","1759-1825,",0
"Trail, William",1746-1831.,3
"Traill, Robert",1642-1716.,1
"Trotter, John",1726-1808.,2
"Trotter, Thomas",1760-1832.,0
"Turnbull, George",1698-1748.,3
"Tweeddale, George Hay, Marquis of",1758-1770.,0
"Tytler, James",1745-1805.,2
"Tytler, William",1711-1792.,7
"Urquhart, Thomas",1611-1660.,2
"Veitch, James, Lord Elliock",1712-1793.,0
"Vetch, Samuel",1668-1732.,0
"Walker, John",1731-1803.,24
"Walker, Robert",1716-1783.,10
"Walker, Thomas",1704-1780.,2
"Wallace, George",1727-1805.,1
"Wallace, Robert",1697-1771.,24
"Wallace, William",1711-1763.,28
"Wallace, William",1768-1843.,28
"Watt, James",1736-1819.,15
"Webster, Alexander",1707-1784.,5
"Webster, Charles",1750-1795.,0
"Wedderburn, John, Sir",1704-1746.,0
"Wedderburn, John, Sir",1729-1803.,0
"Whitefield, George",1714-1770.,2
"Whitefoord, Caleb",1734-1810.,0
"Whytt, Robert",1714-1766.,0
"Wilkie, William",1721-1772.,2
"Williamson, Peter",1730-1799.,14
"Willison, John",1680-1750.,40
"Wilson, Alexander",1714-1786.,64
"Wilson, Alexander",1766-1813.,64
"Wilson, James",1742-1798.,51
"Wilson, James",1765-1821.,51
"Wilson, William",1690-1741.,45
"Winzet, Ninian","1518-1592,",2
"Witherspoon, John",1723-1794.,10
"Wodrow, Robert",1679-1734.,9
"Woodhouselee, Alexander Fraser Tytler, Lord",1747-1813.,0
"Wright, William",1735-1819.,4
"Young, Alexander",1759-1842.,1
"Young, Patrick",1584-1652.,0
"Young, Thomas",1587-1655.,6
"Young, William","1755-1829,",6
