name,date,rows
"Cleghorn, Robert",1755-1821.,0
"Clerk, John",1728-1812.,5
"Cochrane, Alexander Forrester Inglis, Sir",1758-1832.,0
"Cockburn, Henry Cockburn, Lord",1779-1854.,0
"Cockburn, William, Sir",1662-1751.,0
"Colden, Cadwallader",1688-1776.,0
"Colquhoun, James, Sir",1714-1786.,0
"Colquhoun, Patrick",1745-1820.,1
"Covington, Alexander Lockhart, Lord",1700-1782.,0
"Cowper, William",1568-1619.,40
"Craig, James",1669-1731.,17
"Craufurd, David",1665-1726.,0
"Craufurd, Q. (Quintin)",1743-1819.,0
"Crawford, George Lindsay-Crawford, Earl of",1729-1781.,0
"Crawford, George Lindsay-Crawford, Earl of",1758-1808.,0
"Crawford, William",1676-1742.,10
"Crichton, Alexander, Sir",1763-1856.,0
"Cruden, Alexander",1701-1770.,1
"Cruickshank, William",1745-1800.,1
"Cullen, Francis Grant, Lord",1658-1726.,0
"Cullen, William",1710-1790.,5
"Cuming, Patrick",1695-1776.,0
"Cumming, Alexander",1733-1814.,2
"Cunynghame, David, Sir",1700-1767.,0
"Currie, James",1756-1805.,39
"Dalgliesh, William",1733-1807.,0
"Dalhousie, George Ramsay, Earl of",1770-1838.,0
"Dalrymple, Alexander",1737-1808.,0
"Dalrymple, David",1719-1784.,9
"Dalrymple, David, Sir",1726-1792.,0
"Dalrymple, Hew, Sir",1712-1790.,0
"Dalrymple, Hugh",1690-1755.,0
"Dalrymple, John, Sir",1726-1810.,0
"Dalrymple, William",1723-1814.,1
"Dalzel, Andrew",1742-1806.,14
"Dempster, George",1732-1818.,1
"Deuchar, David",1743-1808.,2
"Dick, Alexander, Sir",1703-1785.,0
"Dick, John",1764-1833.,6
"Dickson, Adam",1721-1776.,0
"Dickson, David",1709-1780.,27
"Dickson, James",1738-1822.,6
"Dinwiddie, Robert",1693-1770.,0
"Dobbs, Arthur",1689-1765.,0
"Dobson, Thomas","1751-1823,",2
"Donaldson, J. (John)",1737-1801.,0
"Donaldson, James",1751-1830.,35
"Douglas of Douglas, Archibald Douglas, Baron",1748-1827.,0
"Douglas, Archibald Douglas, Duke of",1691-1761.,0
"Douglas, Basil William, Lord Daer",1763-1794.,0
"Douglas, James",1675-1742.,62
"Douglas, Niel",1750-1823.,10
"Douglas, Robert, Sir",1694-1770.,0
"Dreghorn, John Maclaurin, Lord",1734-1796.,0
"Drummond, James",1713-1746.,23
"Drummond, Robert Hay",1711-1776.,1
"Drummond, William",1585-1649.,7
"Duff, Archibald",1721-1788.,3
"Duff, William",1732-1815.,1
"Dun, David Erskine, Lord",1670-1758.,0
"Duncan, Alexander",1708-1795.,11
"Duncan, Andrew",1744-1828.,81
"Duncan, Andrew, Jun.",1773-1832.,0
"Duncan, William",1717-1760.,27
"Dundas of Aske, Thomas Dundas, Baron",1741-1820.,0
"Dundas, David, Sir",1735-1820.,0
"Dundas, George",1690-1762.,2
"Dundas, Robert, Lord Arniston",1685-1753.,0
"Dundonald, Thomas Cochrane, Earl of",1691-1778.,0
"Dundonald, Thomas Cochrane, Earl of",1702-1737.,0
"Dunlop, Alexander",1684-1747.,28
"Dunlop, William",1692-1720.,0
"Dunmore, John Murray, Earl of",1732-1809.,0
"Dunn, Patrick, Sir",1642-1713.,0
"Duns Scotus, John","1266-1308,",0
"Dury, John",1596-1680.,0
"Dyson, Jeremiah",1722-1776.,0
"Edmonstone, Archibald, Sir",1717-1807.,0
"Edwards, Jonathan",1703-1758.,21
"Eglinton, Alexander Montgomerie, Earl of",1723-1769.,0
"Eldin, John Clerk, Lord",1757-1832.,0
"Elibank, Patrick Murray, Baron",1703-1778.,0
"Elizabeth, Queen, consort of Frederick I, King of Bohemia",1596-1662.,0
"Elliot, Andrew",1728-1797.,1
"Elliot, Gilbert, Sir",1722-1777.,0
"Elphinston, James",1721-1809.,0
"Elphinstone, Charles Elphinstone, Lord",1711-1781.,0
"Elphinstone, Clementina Elphinstone, Lady",1719-1799.,0
"Erroll, James Hay, Earl of",1726-1778.,0
"Erskine, Andrew",1739-1793.,0
"Erskine, Ebenezer",1680-1754.,14
"Erskine, Henry",1746-1817.,3
"Erskine, James Francis",1743-1806.,0
"Erskine, John",1662-1743.,37
"Erskine, John",1695-1768.,37
"Erskine, John",1721-1803.,37
"Erskine, Ralph",1685-1752.,24
"Erskine, Robert",1735-1780.,3
"Erskine, Thomas Erskine, Baron",1750-1823.,0
"Ewing, Greville",1767-1841.,18
"Falconer, William",1732-1769.,10
"Farquhar, John",1732-1768.,0
"Ferguson, Adam",1723-1816.,7
"Ferguson, James",1710-1776.,46
"Ferguson, Niel",1748-1803.,0
"Fergusson, James",1713-1771.,17
"Fergusson, Robert",1750-1774.,24
"Ferriar, John",1761-1815.,0
"Ferrier, James",1744-1829.,16
"Fife, Dorothea Sinclair Duff, Countess of",1739-1818.,0
"Fife, James Duff, Earl of",1729-1809.,0
"Fife, William Duff, Earl",1697-1763.,0
"Fletcher, Andrew",1655-1716.,3
"Forbes of Pitsligo, Alexander Forbes, Lord",1678-1762.,0
"Forbes, Arthur, Sir",1709-1773.,0
"Forbes, Duncan",1685-1747.,6
"Forbes, James Forbes, Lord",1689-1761.,0
"Forbes, Patrick",1564-1635.,7
"Forbes, Robert",1708-1775.,8
"Fordyce, David",1711-1751.,0
"Fordyce, George",1736-1802.,0
"Fordyce, James",1720-1796.,1
"Fordyce, William, Sir",1724-1792.,0
"Forsyth, William",1737-1804.,10
"Fountainhall, John Lauder, Lord",1646-1722.,0
"Fraser, A. (Archibald)",1736-1815.,0
"Fraser, Alexander",1729-1762.,23
"Fraser, Alexander",1749-1802.,23
"Fraser, Hugh",1703-1770.,13
"Fraser, James",1639-1699.,28
"Fraser, James",1713-1754.,28
"Fraser, John",1750-1811.,11
"Fraser, Paul",1731-1827.,0
"Fyfe, Andrew",1754-1824.,6
"Garden, Alexander",1714-1785.,2
"Gardenstone, Francis Garden, Lord",1721-1793.,0
"Gartshore, George",1687-1760.,0
"Ged, William",1690-1749.,2
"Geddes, Alexander",1737-1802.,0
"Geddes, John",1735-1799.,7
"Gerard, Alexander",1728-1795.,0
"Gib, Adam",1714-1788.,1
"Gibbs, James",1682-1754.,0
"Gilchrist, Ebenezer",1707-1774.,0
"Gilchrist, John",1759-1841.,15
"Gillespie, George",1613-1648.,8
"Gillies, John",1747-1836.,5
"Glas, John",1695-1773.,14
"Gleig, George",1753-1840.,16
"Glen, James",1701-1777.,1
"Glenie, James",1750-1817.,0
"Glenorchy, Willielma Campbell, Viscountess","1741-1786,",0
"Goldie, John",1717-1809.,2
"Gordon, Alexander Gordon, Duke of",1743-1827.,0
"Gordon, Alexander Penrose Cumming, Sir",1749-1806.,0
"Gordon, John","1644-1726,",17
"Gordon, Robert, Sir",1696-1772.,0
"Gordon, Thomas, Sir",1685-1769.,0
"Gordon, William",1736-1816.,10
"Gowdie, John",1707-1777.,0
"Graeme, James",1749-1772.,0
"Graham, James",1745-1794.,20
"Graham, John, Viscount Dundee",1648-1689.,0
"Grahame, James",1765-1811.,43
"Grant, Charles",1746-1823.,3
"Grant, James",1720-1806.,32
"Grant, James",1743-1835.,32
"Grant, James, Sir",1738-1811.,0
"Grant, Ludovick, Sir",1707-1773.,0
"Gray, John Gray, Lord",1716-1782.,0
"Gray, Margaret Blair, Lady",1720-1790.,0
"Gregory, David",1627-1720.,0
"Gregory, David",1659-1708.,0
"Gregory, James",1638-1675.,16
"Gregory, James",1753-1821.,16
"Gregory, John",1724-1773.,7
"Guthrie, William",1708-1770.,29
"Haddington, Thomas Hamilton, Earl of",1721-1794.,0
"Haldane, J. A. (James Alexander)",1768-1851.,0
"Haldane, Patrick",1683-1769.,0
"Hall, Archibald",1736-1778.,1
"Hall, James, Sir",1761-1832.,0
"Hall, William",1675-1748.,1
"Halyburton, Thomas",1674-1712.,7
"Hamilton, Alexander",1739-1802.,10
"Hamilton, Douglas Hamilton, Duke of",1756-1799.,0
"Hamilton, James Douglas, Duke of",1658-1712.,0
"Hamilton, James George Hamilton, Duke of",1755-1769.,0
"Hamilton, James Hamilton, Duke of",1606-1649.,0
"Hamilton, James Hamilton, Duke of",1703-1743.,0
"Hamilton, James Hamilton, Duke of",1724-1758.,0
"Hamilton, James",1767-1839.,40
"Hamilton, John",1715-1796.,25
"Hamilton, Robert",1698-1773.,21
"Hamilton, Robert",1743-1829.,21
"Hamilton, William Hamilton, Duke of",1616-1651.,0
"Hamilton, William",1704-1754.,44
"Hardie, James",1758-1826.,4
"Hardy, Thomas",1748-1798.,2
"Hardy, Thomas",1752-1832.,2
"Hay, George",1729-1811.,20
"Hay, John",1698-1758.,14
"Hay, John",1700-1780.,14
"Henry Frederick, Prince of Wales",1594-1612.,0
"Henry, Robert",1718-1790.,0
"Hepburn, George Buchan, Sir",1739-1819.,0
"Heriot, George",1759-1839.,2
"Heron, Robert",1764-1807.,3
"Hill, George",1750-1819.,10
"Hill, James",1676-1743.,6
"Hog, Thomas",1742-1827.,1
"Home, Francis",1719-1813.,1
"Home, John",1722-1808.,18
"Home, John, Sir",1679-1756.,0
"Honyman, William, Sir",1756-1825.,0
"Hope, Archibald, Sir",1735-1794.,0
"Hope, John",1725-1786.,35
"Hope, Thomas Charles",1766-1844.,4
"Hopetoun, Henrietta Hope, Countess of",1682-1750.,0
"Hopetoun, John Hope, Earl of",1704-1781.,0
"Houston, Eleanora, Lady",1720-1769.,0
"Houston, Margaret, Lady",1683-1757.,0
"Houstoun, William",1703-1733.,0
"Howe, Charles",1661-1742.,0
"Howie, John",1735-1793.,29
"Hume-Campbell, Alexander",1708-1760.,0
"Hume, David",1711-1776.,29
"Hume, John",1703-1782.,1
"Hunter, A. (Alexander)",1729-1809.,0
"Hunter, Andrew",1743-1809.,4
"Hunter, John",1728-1793.,28
"Hunter, Robert",1666-1734.,15
"Hunter, William",1718-1783.,17
"Hunter, William",1755-1812.,17
"Hutton, James",1726-1797.,0
"Hyndford, John Carmichael, Earl of",1710-1787.,0
"Inglis, Henry David",1757-1806.,7
"Innes, John",1739-1777.,2
"Innes, Thomas",1662-1744.,5
"Irvine, Alexander",1754-1844.,10
"Irvine, William",1776-1811.,1
"Irving, David",1778-1860.,24
J. I. (John Inglis),1708-1775.,0
"Jacchaeus, Gilbertus",1585-1628.,0
"James IV, King of Scotland",1473-1513.,0
"James V, King of Scotland",1512-1542.,0
"James VI, King of Scotland",1566-1625.,0
"Jameson, Robert",1774-1854.,29
"Jamieson, John",1759-1838.,30
"Jamison, David",1660-1739.,0
"Jeffray, James",1759-1848.,0
"Jeffrey, Francis Jeffrey, Lord",1773-1850.,0
"Johnston, David",1734-1824.,6
"Johnston, Gabriel","1699-1752,",0
"Johnstone, George",1730-1787.,1
"Jones, John Paul",1747-1792.,1
"Justice, James",1698-1763.,0
"Kames, Henry Home, Lord",1696-1782.,0
"Keill, John",1671-1721.,0
"Keir, James",1735-1820.,1
"Keith, George Skene",1752-1823.,11
"Keith, James Francis Edward",1696-1758.,0
"Keith, Robert",1681-1757.,4
"Keith, William, Sir",1680-1749.,0
"Ker, John",1673-1726.,24
"Kerr, Robert","1755-1813,",15
"Kinnoull, George Hay, Earl of",1689-1758.,0
"Knox, John",1505-1572.,16
"Knox, John",1720-1790.,16
"Laing, Malcolm",1762-1818.,4
"Lauder, Andrew, Sir",1702-1769.,0
"Lauderdale, James Maitland, Earl of",1718-1789.,0
"Lauderdale, James Maitland, Earl of",1759-1839.,0
"Lauderdale, John Maitland, Duke of",1616-1682.,0
"Law, John",1671-1729.,2
"Lee, James",1715-1795.,0
"Leechman, William",1706-1785.,0
"Leeds, Francis Godolphin Osborne, Duke of",1751-1799.,0
"Leighton, Alexander",1568-1649.,8
"Leighton, Robert",1611-1684.,5
"Leiper, Thomas",1745-1825.,0
"Lennox, James Stuart, Duke of",1612-1655.,0
"Leslie, John",1527-1596.,33
"Leslie, John",1751-1828.,33
"Leyden, John",1775-1811.,16
"Liddel, Duncan",1561-1613.,0
"Lind, James",1716-1794.,0
"Lind, James",1736-1812.,0
"Lindsay, Patrick",1686-1753.,0
"Liston, Robert",1742-1836.,6
"Livingston, Robert",1654-1728.,0
"Livingstone, John",1603-1672.,4
"Lockhart, George",1700-1764.,0
"Logan, George",1678-1755.,1
"Logan, John",1748-1788.,19
"Lothian, Robert Kerr, Earl of",1636-1703.,0
"Lothian, William",1740-1783.,5
"Loudoun, John Campbell, Earl of",1705-1782.,0
"Love, John",1695-1750.,12
"Love, John",1757-1825.,12
"Lymburner, Adam",1746-1836.,0
"Lynedoch, Thomas Graham, Baron",1748-1843.,0
"M'Crie, Thomas",1772-1835.,78
"Macdonald, Archibald, Sir",1747-1826.,0
"MacIntyre, Duncan Ban",1724-1812.,10
"MacKay, Andrew",1758-1809.,1
"Mackenzie, Alexander",1735-1805.,44
"Mackenzie, George, Sir",1636-1691.,0
"Mackenzie, Henry",1745-1831.,31
"Mackenzie, John",1743-1836.,47
"Mackenzie, Kenneth",1699-1756.,5
"Mackenzie, William",1735-1774.,14
"Mackintosh, James, Sir",1765-1832.,0
"Macknight, James",1721-1800.,3
"MacLaurin, Colin",1698-1746.,0
"Maclaurin, John",1693-1754.,9
"Maclean, Allan",1725-1784.,2
"Maclean, John",1771-1814.,16
"Macleod, Norman",1706-1772.,54
"Macneill, Hector",1746-1818.,30
"Macpherson, James",1736-1796.,37
"Macpherson, John",1710-1765.,17
"Macpherson, John, Sir",1745-1821.,0
"Macquer, Pierre Joseph",1718-1784.,0
"Malcolm, Alexander",1685-1763.,0
"Mansfield, David Murray, Earl of",1727-1796.,0
"Mansfield, William Murray, Earl of",1705-1793.,0
"Marchmont, Hugh Hume, Earl of",1708-1794.,0
"Marchmont, Patrick Hume, Earl of",1641-1724.,0
"Marischal, George Keith, Earl",1693-1778.,0
"Marshall, James",1731-1807.,12
"Martin, David","1737-1797,",0
"Martin, Samuel",1740-1829.,3
"Martine, George",1702-1741.,0
"Mary, Queen of Scots",1542-1587.,0
"Masson, Francis",1741-1805.,0
"Maxwell, James",1735-1785.,1
"Maxwell, Robert",1695-1765.,0
"McAdam, John Loudon",1756-1836.,0
"McDougall, Alexander",1732-1786.,0
"McLean, Archibald",1733-1812.,4
"Meadowbank, Allan Maconochie, Lord",1748-1816.,0
"Melfort, John Drummond, Earl of",1649-1715.,0
"Melville, Andrew",1545-1622.,5
"Melville, Henry Dundas, Viscount",1742-1811.,0
"Melville, James, Sir",1535-1617.,0
"Melville, Robert",1723-1809.,0
"Mickle, William Julius",1735-1788.,0
"Middleton, Erasmus",1739-1805.,0
"Millar, John",1735-1801.,11
"Millar, Robert",1672-1752.,3
"Miller, Patrick",1731-1815.,3
"Miller, Thomas, Sir",1717-1789.,0
"Minto, Gilbert Elliot, Earl of",1751-1814.,0
"Mitchell, Andrew, Sir",1708-1771.,0
"Monboddo, James Burnett, Lord",1714-1799.,0
"Moncreiff-Wellwood, Henry",1750-1827.,13
"Moncrieff, Alexander",1695-1761.,0
"Monro, Alexander",1697-1767.,7
"Monro, Alexander",1733-1817.,7
"Monro, Alexander",1773-1859.,7
"Monro, Donald",1727-1802.,3
"Montgomery, James",1771-1854.,30
"Montgomery, Robert, Sir",1680-1731.,0
"Montrose, James Graham, Marquis of",1612-1650.,0
"Montrose, William Graham, Duke of",1712-1790.,0
"Moodie, William",1759-1812.,8
"Moor, James",1712-1779.,7
"Moore, John",1729-1802.,4
"Moore, John, Sir",1761-1809.,0
"Moray, James Stuart, Earl of",1708-1767.,0
"Morison, Alexander",1779-1866.,5
"Morison, Robert",1620-1683.,4
"Morton, James Douglas, Earl of",1702-1768.,0
"Morton, Sholto Charles Douglas, Earl of",1732-1774.,0
"Muir, George",1723-1771.,12
"Muir, Thomas",1765-1798.,20
"Mure, William",1718-1776.,10
"Murray Kynynmound, Agnes",1731-1778.,0
"Murray, Charlotte, Lady",1754-1808.,0
"Murray, George, Lord",1694-1760.,0
"Murray, James",1721-1794.,18
"Murray, John",1726-1800.,37
"Murray, John",1726-1823.,37
"Murray, John, Sir",1715-1777.,0
"Mylne, Robert",1734-1811.,1
"Napier, Francis Napier, Lord",1705-1773.,0
"Napier, John",1550-1617.,3
"Nicholson, Peter",1765-1844.,3
"Nicolson, John",1707-1799.,1
"Nisbet, Charles",1736-1804.,1
"Nisbet, William",1759-1822.,7
"Noble, John",1721-1776.,3
"Ogilby, John",1600-1676.,0
"Ogilvie, James, Earl of Seafield",1750-1811.,0
"Ogilvie, John",1732-1813.,5
"Ogilvie, William",1736-1819.,14
"Pagett, Thomas Catesby",1689-1742.,0
"Panmure, William Maule, Earl of",1700-1782.,0
"Park, James Allan, Sir",1763-1838.,0
"Park, Mungo",1771-1806.,22
"Paterson, William",1658-1719.,12
"Paterson, William",1755-1810.,12
"Patoun, Archibald",1706-1775.,0
"Peddie, James",1758-1845.,11
